id,date,home_team,home_team_score,visit_team,visit_team_score
320905019,2012-09-05,New York,17,Dallas Cowboys,24
320916026,2012-09-16,Seattle,27,Dallas Cowboys,7
320923006,2012-09-23,Dallas Cowboys,16,Tampa Bay,10
321001006,2012-10-01,Dallas Cowboys,18,Chicago,34
321014033,2012-10-14,Baltimore,31,Dallas Cowboys,29
321021029,2012-10-21,Carolina,14,Dallas Cowboys,19
321028006,2012-10-28,Dallas Cowboys,24,New York,29
321104001,2012-11-04,Atlanta,19,Dallas Cowboys,13
321111021,2012-11-11,Philadelphia,23,Dallas Cowboys,38
321118006,2012-11-18,Dallas Cowboys,23,Cleveland,20
321122006,2012-11-22,Dallas Cowboys,31,Washington,38
321202006,2012-12-02,Dallas Cowboys,38,Philadelphia,33
321209004,2012-12-09,Cincinnati,19,Dallas Cowboys,20
321216006,2012-12-16,Dallas Cowboys,27,Pittsburgh,24
321223006,2012-12-23,Dallas Cowboys,31,New Orleans,34
321230028,2012-12-30,Washington,28,Dallas Cowboys,18
320813013,2012-08-13,Oakland,0,Dallas Cowboys,3
320818024,2012-08-18,San Diego,28,Dallas Cowboys,20
320825006,2012-08-25,Dallas Cowboys,20,St. Louis,19
320829006,2012-08-29,Dallas Cowboys,30,Miami,13
320916019,2012-09-16,New York Giants,41,Tampa Bay,34
320920029,2012-09-20,Carolina,7,New York Giants,36
320930021,2012-09-30,Philadelphia,19,New York Giants,17
321007019,2012-10-07,New York Giants,41,Cleveland,27
321014025,2012-10-14,San Francisco,3,New York Giants,26
321021019,2012-10-21,New York Giants,27,Washington,23
321104019,2012-11-04,New York Giants,20,Pittsburgh,24
321111004,2012-11-11,Cincinnati,31,New York Giants,13
321125019,2012-11-25,New York Giants,38,Green Bay,10
321203028,2012-12-03,Washington,17,New York Giants,16
321209019,2012-12-09,New York Giants,52,New Orleans,27
321216001,2012-12-16,Atlanta,34,New York Giants,0
321223033,2012-12-23,Baltimore,33,New York Giants,14
321230019,2012-12-30,New York Giants,42,Philadelphia,7
320810030,2012-08-10,Jacksonville,32,New York Giants,31
