id,date,home_team,home_team_score,visit_team,visit_team_score
330908006,2013-09-08,Dallas Cowboys,36,New York,31
330915012,2013-09-15,Kansas City,17,Dallas Cowboys,16
330922006,2013-09-22,Dallas Cowboys,31,St. Louis,7
330929024,2013-09-29,San Diego,30,Dallas Cowboys,21
331006006,2013-10-06,Dallas Cowboys,48,Denver,51
331013006,2013-10-13,Dallas Cowboys,31,Washington,16
331020021,2013-10-20,Philadelphia,3,Dallas Cowboys,17
331027008,2013-10-27,Detroit,31,Dallas Cowboys,30
331103006,2013-11-03,Dallas Cowboys,27,Minnesota,23
331110018,2013-11-10,New Orleans,49,Dallas Cowboys,17
331124019,2013-11-24,New York,21,Dallas Cowboys,24
331128006,2013-11-28,Dallas Cowboys,31,Oakland,24
331209003,2013-12-09,Chicago,45,Dallas Cowboys,28
331215006,2013-12-15,Dallas Cowboys,36,Green Bay,37
331222028,2013-12-22,Washington,23,Dallas Cowboys,24
331229006,2013-12-29,Dallas Cowboys,22,Philadelphia,24
330804006,2013-08-04,Dallas Cowboys,24,Miami,20
330809013,2013-08-09,Oakland,19,Dallas Cowboys,17
330817022,2013-08-17,Arizona,12,Dallas Cowboys,7
330824006,2013-08-24,Dallas Cowboys,24,Cincinnati,18
330829006,2013-08-29,Dallas Cowboys,6,Houston,24
330915019,2013-09-15,New York Giants,23,Denver,41
330922029,2013-09-22,Carolina,38,New York Giants,0
330929012,2013-09-29,Kansas City,31,New York Giants,7
331006019,2013-10-06,New York Giants,21,Philadelphia,36
331010003,2013-10-10,Chicago,27,New York Giants,21
331021019,2013-10-21,New York Giants,23,Minnesota,7
331027021,2013-10-27,Philadelphia,7,New York Giants,15
331110019,2013-11-10,New York Giants,24,Oakland,20
331117019,2013-11-17,New York Giants,27,Green Bay,13
331201028,2013-12-01,Washington,17,New York Giants,24
331208024,2013-12-08,San Diego,37,New York Giants,14
331215019,2013-12-15,New York Giants,0,Seattle,23
331222008,2013-12-22,Detroit,20,New York Giants,23
331229019,2013-12-29,New York Giants,20,Washington,6
330810023,2013-08-10,Pittsburgh,13,New York Giants,18
330818019,2013-08-18,New York Giants,12,Indianapolis,20
330824019,2013-08-24,New York Giants,21,New York,24
330829017,2013-08-29,New England,28,New York Giants,20
340104021,2013-01-04,Philadelphia Eagles,24,New Orleans,26
330909028,2013-09-09,Washington,27,Philadelphia Eagles,33
330915021,2013-09-15,Philadelphia Eagles,30,San Diego,33
