id,date,home_team,home_team_score,visit_team,visit_team_score
300912028,2010-09-12,Washington,13,Dallas Cowboys,7
300919006,2010-09-19,Dallas Cowboys,20,Chicago,27
300926034,2010-09-26,Houston,13,Dallas Cowboys,27
301010006,2010-10-10,Dallas Cowboys,27,Tennessee,34
301017016,2010-10-17,Minnesota,24,Dallas Cowboys,21
301025006,2010-10-25,Dallas Cowboys,35,New York,41
301031006,2010-10-31,Dallas Cowboys,17,Jacksonville,35
301107009,2010-11-07,Green Bay,45,Dallas Cowboys,7
301114019,2010-11-14,New York,20,Dallas Cowboys,33
301121006,2010-11-21,Dallas Cowboys,35,Detroit,19
301125006,2010-11-25,Dallas Cowboys,27,New Orleans,30
301205011,2010-12-05,Indianapolis,35,Dallas Cowboys,38
301212006,2010-12-12,Dallas Cowboys,27,Philadelphia,30
301219006,2010-12-19,Dallas Cowboys,33,Washington,30
301225022,2010-12-25,Arizona,27,Dallas Cowboys,26
310102021,2010-01-02,Philadelphia,13,Dallas Cowboys,14
300808004,2010-08-08,Cincinnati,7,Dallas Cowboys,16
300812006,2010-08-12,Dallas Cowboys,9,Oakland,17
300821024,2010-08-21,San Diego,14,Dallas Cowboys,16
300828034,2010-08-28,Houston,23,Dallas Cowboys,7
300902006,2010-09-02,Dallas Cowboys,27,Miami,25
300912019,2010-09-12,New York Giants,31,Carolina,18
300919011,2010-09-19,Indianapolis,38,New York Giants,14
300926019,2010-09-26,New York Giants,10,Tennessee,29
301003019,2010-10-03,New York Giants,17,Chicago,3
301010034,2010-10-10,Houston,10,New York Giants,34
301017019,2010-10-17,New York Giants,28,Detroit,20
301107026,2010-11-07,Seattle,7,New York Giants,41
301121021,2010-11-21,Philadelphia,27,New York Giants,17
301128019,2010-11-28,New York Giants,24,Jacksonville,20
301205019,2010-12-05,New York Giants,31,Washington,7
301213016,2010-12-13,Minnesota,3,New York Giants,21
301219019,2010-12-19,New York Giants,31,Philadelphia,38
301226009,2010-12-26,Green Bay,45,New York Giants,17
310102028,2010-01-02,Washington,14,New York Giants,17
300816020,2010-08-16,New York,16,New York Giants,31
300821019,2010-08-21,New York Giants,17,Pittsburgh,24
300828033,2010-08-28,Baltimore,24,New York Giants,10
300902019,2010-09-02,New York Giants,20,New England,17
310109021,2010-01-09,Philadelphia Eagles,16,Green Bay,21
300912021,2010-09-12,Philadelphia Eagles,20,Green Bay,27
300919008,2010-09-19,Detroit,32,Philadelphia Eagles,35
300926030,2010-09-26,Jacksonville,3,Philadelphia Eagles,28
301003021,2010-10-03,Philadelphia Eagles,12,Washington,17
301010025,2010-10-10,San Francisco,24,Philadelphia Eagles,27
301017021,2010-10-17,Philadelphia Eagles,31,Atlanta,17
301024010,2010-10-24,Tennessee,37,Philadelphia Eagles,19
301107021,2010-11-07,Philadelphia Eagles,26,Indianapolis,24
301115028,2010-11-15,Washington,28,Philadelphia Eagles,59
301128003,2010-11-28,Chicago,31,Philadelphia Eagles,26
301202021,2010-12-02,Philadelphia Eagles,34,Houston,24
301228021,2010-12-28,Philadelphia Eagles,14,Minnesota,24
300813021,2010-08-13,Philadelphia Eagles,28,Jacksonville,27
300820004,2010-08-20,Cincinnati,22,Philadelphia Eagles,9
300827012,2010-08-27,Kansas City,17,Philadelphia Eagles,20
300902021,2010-09-02,Philadelphia Eagles,17,New York,21
300919028,2010-09-19,Washington Redskins,27,Houston,30
300926014,2010-09-26,St. Louis,30,Washington Redskins,16
301010028,2010-10-10,Washington Redskins,16,Green Bay,13
301017028,2010-10-17,Washington Redskins,24,Indianapolis,27
301024003,2010-10-24,Chicago,14,Washington Redskins,17
301031008,2010-10-31,Detroit,37,Washington Redskins,25
301121010,2010-11-21,Tennessee,16,Washington Redskins,19
301128028,2010-11-28,Washington Redskins,13,Minnesota,17
301212028,2010-12-12,Washington Redskins,16,Tampa Bay,17
301226030,2010-12-26,Jacksonville,17,Washington Redskins,20
300813028,2010-08-13,Washington Redskins,42,Buffalo,17
300821028,2010-08-21,Washington Redskins,3,Baltimore,23
300827020,2010-08-27,New York,11,Washington Redskins,16
300902022,2010-09-02,Arizona,20,Washington Redskins,10
300912002,2010-09-12,Buffalo Bills,10,Miami,15
300919009,2010-09-19,Green Bay,34,Buffalo Bills,7
300926017,2010-09-26,New England,38,Buffalo Bills,30
301003002,2010-10-03,Buffalo Bills,14,New York,38
301010002,2010-10-10,Buffalo Bills,26,Jacksonville,36
301024033,2010-10-24,Baltimore,37,Buffalo Bills,34
301031012,2010-10-31,Kansas City,13,Buffalo Bills,10
301107002,2010-11-07,Buffalo Bills,19,Chicago,22
301114002,2010-11-14,Buffalo Bills,14,Detroit,12
301121004,2010-11-21,Cincinnati,31,Buffalo Bills,49
301128002,2010-11-28,Buffalo Bills,16,Pittsburgh,19
301205016,2010-12-05,Minnesota,38,Buffalo Bills,14
301212002,2010-12-12,Buffalo Bills,13,Cleveland,6
301219015,2010-12-19,Miami,14,Buffalo Bills,17
301226002,2010-12-26,Buffalo Bills,3,New England,34
310102020,2010-01-02,New York,38,Buffalo Bills,7
300819002,2010-08-19,Buffalo Bills,34,Indianapolis,21
300828002,2010-08-28,Buffalo Bills,35,Cincinnati,20
300902008,2010-09-02,Detroit,28,Buffalo Bills,23
300919016,2010-09-19,Minnesota,10,Miami Dolphins,14
300926015,2010-09-26,Miami Dolphins,23,New York,31
